file	index	entry	raw_id	offset	instructions_including_end
etama.anm	12	0	4294967158	4760	3
etama.anm	13	0	4294967159	4788	3
etama.anm	14	0	4294967160	4816	4
etama.anm	15	0	4294967161	4856	5
etama.anm	16	0	4294967162	4916	6
etama.anm	17	0	4294967163	4992	6
etama.anm	18	0	4294967164	5068	7
etama.anm	19	0	4294967165	5164	7
etama.anm	20	0	4294967166	5264	7
etama.anm	21	0	4294967167	5364	7
etama.anm	22	0	4294967168	5464	7
etama.anm	23	0	4294967169	5564	13
etama.anm	24	0	4294967170	5744	7
etama.anm	25	1	4294967171	138708	4
etama.anm	26	1	4294967172	138748	6
etama.anm	27	1	4294967173	138820	8
etama.anm	28	1	4294967174	138920	7
etama.anm	29	1	4294967175	139008	9
etama.anm	30	1	4294967176	139128	8
etama.anm	31	1	4294967177	139228	8
etama.anm	32	1	4294967178	139328	14
etama.anm	33	1	4294967179	139532	14
etama.anm	34	1	4294967180	139736	15
etama.anm	35	1	4294967181	139972	8
etama.anm	36	1	4294967182	140084	9
etama.anm	37	1	4294967183	140204	9
etama.anm	38	1	4294967184	140324	9
etama.anm	39	1	4294967185	140444	9
etama.anm	40	1	4294967186	140564	10
etama.anm	41	1	4294967187	140696	10
etama.anm	42	1	4294967188	140828	10
etama.anm	43	1	4294967189	140960	10
etama.anm	44	1	4294967190	141092	8
etama.anm	45	1	4294967191	141192	10
etama.anm	46	1	4294967192	141332	9
etama.anm	47	1	4294967193	141444	10
etama.anm	48	1	4294967194	141572	27
etama.anm	49	1	4294967195	142040	27
etama.anm	50	1	4294967196	142508	27
etama.anm	51	1	4294967197	142976	10
etama.anm	52	1	4294967198	143104	14
etama.anm	53	1	4294967199	143320	17
etama.anm	54	1	4294967200	143592	13
etama.anm	55	1	4294967201	143776	9
etama.anm	56	1	4294967202	143900	8
etama.anm	57	1	4294967203	144000	8
etama.anm	58	1	4294967204	144112	9
etama.anm	59	1	4294967205	144236	9
etama.anm	60	1	4294967206	144360	9
etama.anm	61	1	4294967207	144484	3
etama.anm	62	1	4294967208	144512	3
etama.anm	63	1	4294967209	144540	3
etama.anm	64	1	4294967210	144568	3
etama.anm	65	1	4294967211	144596	3
etama.anm	66	1	4294967212	144624	3
etama.anm	67	1	4294967213	144652	4
etama.anm	68	1	4294967214	144692	5
etama.anm	69	1	4294967215	144768	12
etama.anm	70	1	4294967216	144956	5
etama.anm	71	1	4294967217	145016	18
etama.anm	72	1	4294967218	145308	19
etama.anm	73	1	4294967219	145624	22
etama.anm	74	1	4294967220	145992	22
etama.anm	75	1	4294967221	146360	10
etama.anm	76	2	4294967222	278080	9
etama.anm	77	2	4294967223	278208	9
etama.anm	78	2	4294967224	278336	9
etama.anm	79	2	4294967225	278464	5
etama.anm	80	2	4294967226	278520	9
etama.anm	81	2	4294967227	278648	16
etama.anm	82	2	4294967228	278912	16
etama.anm	83	2	4294967229	279184	7
etama.anm	84	2	4294967230	279276	6
etama.anm	85	2	4294967231	279348	5
etama.anm	86	2	4294967232	279408	10
etama.anm	87	2	4294967233	279568	13
etama.anm	88	2	4294967234	279772	9
etama.anm	89	2	4294967235	279896	9
etama.anm	90	2	4294967236	280020	9
etama.anm	91	2	4294967237	280144	9
etama.anm	92	2	4294967238	280268	9
etama.anm	93	2	4294967239	280392	9
etama.anm	94	2	4294967240	280516	9
etama.anm	95	2	4294967241	280640	9
etama.anm	96	2	4294967242	280764	13
etama.anm	97	2	4294967243	280972	13
etama.anm	98	2	4294967244	281180	13
etama.anm	99	2	4294967245	281388	13
etama.anm	100	2	4294967246	281596	14
etama.anm	101	2	4294967247	281824	14
etama.anm	102	2	4294967248	282052	11
etama.anm	103	2	4294967249	282208	11
etama.anm	104	3	4294967250	315276	9
etama.anm	105	4	4294967251	446616	3
etama.anm	106	5	4294967252	482204	4
etama.anm	107	5	4294967253	482244	4
etama.anm	108	5	4294967254	482292	4
etama.anm	109	5	4294967255	482340	4
etama.anm	110	5	4294967256	482388	4
etama.anm	111	5	4294967257	482436	4
etama.anm	112	5	4294967258	482476	4
etama.anm	113	5	4294967259	482516	4
etama.anm	114	5	4294967260	482556	8
etama.anm	115	5	4294967261	482652	4
face_al00.anm	0	0	4294967151	152	9
face_al00.anm	1	1	4294967152	524720	31
face_al00.anm	2	2	4294967153	656432	31
face_al00.anm	3	3	4294967154	788144	31
face_al00.anm	4	4	4294967155	919856	31
face_al00.anm	5	5	4294967156	1051568	31
face_al00.anm	6	6	4294967157	1183280	31
face_al00.anm	7	7	4294967158	1314992	31
face_al00.anm	8	8	4294967159	1446704	31
face_alsp.anm	0	0	4294967284	128	9
face_cdbg.anm	0	0	4294967120	176	16
face_cdbg.anm	1	0	4294967121	420	15
face_cdbg.anm	2	0	4294967122	652	16
face_cdbg.anm	3	0	4294967123	908	15
face_mr00.anm	0	0	4294967142	152	9
face_mr00.anm	1	1	4294967143	524736	31
face_mr00.anm	2	2	4294967144	656464	31
face_mr00.anm	3	3	4294967145	788192	31
face_mr00.anm	4	4	4294967146	919920	31
face_mr00.anm	5	5	4294967147	1051648	31
face_mr00.anm	6	6	4294967148	1183376	31
face_mr00.anm	7	7	4294967149	1315104	31
face_mr00.anm	8	8	4294967150	1446832	31
face_rm00.anm	0	0	4294967124	152	9
face_rm00.anm	1	1	4294967125	524720	31
face_rm00.anm	2	2	4294967126	656432	31
face_rm00.anm	3	3	4294967127	788144	31
face_rm00.anm	4	4	4294967128	919856	31
face_rm00.anm	5	5	4294967129	1051568	31
face_rm00.anm	6	6	4294967130	1183280	31
face_rm00.anm	7	7	4294967131	1314992	31
face_rm00.anm	8	8	4294967132	1446704	31
face_rs00.anm	0	0	4294967169	152	9
face_rs00.anm	1	1	4294967170	524736	31
face_rs00.anm	2	2	4294967171	656464	31
face_rs00.anm	3	3	4294967172	788192	31
face_rs00.anm	4	4	4294967173	919920	31
face_rs00.anm	5	5	4294967174	1051648	31
face_rs00.anm	6	6	4294967175	1183376	31
face_rs00.anm	7	7	4294967176	1315104	31
face_rs00.anm	8	8	4294967177	1446832	31
face_rssp.anm	0	0	4294967286	128	9
face_sk00.anm	0	0	4294967160	152	9
face_sk00.anm	1	1	4294967161	524736	31
face_sk00.anm	2	2	4294967162	656464	31
face_sk00.anm	3	3	4294967163	788192	31
face_sk00.anm	4	4	4294967164	919920	31
face_sk00.anm	5	5	4294967165	1051648	31
face_sk00.anm	6	6	4294967166	1183376	31
face_sk00.anm	7	7	4294967167	1315104	31
face_sk00.anm	8	8	4294967168	1446832	31
face_sksp.anm	0	0	4294967285	144	9
face_st01.anm	0	0	4294967196	128	9
face_st01.anm	1	1	4294967197	524712	8
face_st01.anm	2	2	4294967198	557732	30
face_st01.anm	3	3	4294967199	689488	30
face_st01.anm	4	4	4294967200	821292	30
face_st01sp.anm	0	0	4294967272	128	9
face_st02.anm	0	0	4294967201	128	9
face_st02.anm	1	1	4294967202	524712	8
face_st02.anm	2	2	4294967203	557732	30
face_st02.anm	3	3	4294967204	689488	30
face_st02.anm	4	4	4294967205	821244	30
face_st02.anm	5	5	4294967206	952976	30
face_st02sp.anm	0	0	4294967273	128	9
face_st03.anm	0	0	4294967207	128	9
face_st03.anm	1	1	4294967208	524712	8
face_st03.anm	2	2	4294967209	557732	30
face_st03.anm	3	3	4294967210	689488	30
face_st03.anm	4	4	4294967211	821220	30
face_st03.anm	5	5	4294967212	952928	30
face_st03.anm	6	6	4294967213	1084636	30
face_st03.anm	7	7	4294967214	1216344	30
face_st03sp.anm	0	0	4294967274	128	9
face_st04a.anm	0	0	4294967215	128	9
face_st04a.anm	1	1	4294967216	524712	8
face_st04a.anm	2	2	4294967217	557748	30
face_st04a.anm	3	3	4294967218	689496	30
face_st04a.anm	4	4	4294967219	821220	30
face_st04a.anm	5	5	4294967220	952944	30
face_st04a.anm	6	6	4294967221	1084716	30
face_st04a.anm	7	7	4294967222	1216440	30
face_st04asp.anm	0	0	4294967275	128	9
face_st04b.anm	0	0	4294967223	128	9
face_st04b.anm	1	1	4294967224	524712	8
face_st04b.anm	2	2	4294967225	557748	30
face_st04b.anm	3	3	4294967226	689496	30
face_st04b.anm	4	4	4294967227	821220	30
face_st04b.anm	5	5	4294967228	952944	30
face_st04b.anm	6	6	4294967229	1084668	30
face_st04b.anm	7	7	4294967230	1216416	30
face_st04b.anm	8	8	4294967231	1348140	30
face_st04bsp.anm	0	0	4294967276	128	9
face_st05.anm	0	0	4294967232	128	9
face_st05.anm	1	1	4294967233	524712	8
face_st05.anm	2	2	4294967234	557780	30
face_st05.anm	3	3	4294967235	820560	30
face_st05.anm	4	4	4294967236	1083340	30
face_st05.anm	5	5	4294967237	1346168	30
face_st05.anm	6	6	4294967238	1609020	30
face_st05b.anm	0	0	4294967239	432	30
face_st05b.anm	1	0	4294967240	924	30
face_st05b.anm	2	0	4294967241	1416	30
face_st05b.anm	3	0	4294967242	1908	30
face_st05b.anm	4	0	4294967243	2400	30
face_st05b.anm	5	0	4294967244	2892	30
face_st05msp.anm	0	0	4294967278	128	9
face_st05sp.anm	0	0	4294967277	128	9
face_st06.anm	0	0	4294967245	128	9
face_st06.anm	1	1	4294967246	1049000	8
face_st06.anm	2	2	4294967247	1082044	30
face_st06.anm	3	3	4294967248	1344824	30
face_st06.anm	4	4	4294967249	1607604	30
face_st06.anm	5	5	4294967250	1870384	30
face_st06.anm	6	6	4294967251	2133332	30
face_st06sp.anm	0	0	4294967279	128	9
face_st07.anm	0	0	4294967252	128	9
face_st07.anm	1	1	4294967253	1049000	8
face_st07.anm	2	2	4294967254	1082020	30
face_st07.anm	3	3	4294967255	1344824	30
face_st07.anm	4	4	4294967256	1607628	30
face_st07.anm	5	5	4294967257	1870576	30
face_st07sp.anm	0	0	4294967280	128	9
face_st08.anm	0	0	4294967261	128	9
face_st08.anm	1	1	4294967262	1049000	8
face_st08.anm	2	2	4294967263	1082020	30
face_st08.anm	3	3	4294967264	1344824	30
face_st08.anm	4	4	4294967265	1607604	30
face_st08.anm	5	5	4294967266	1870384	30
face_st08.anm	6	6	4294967267	2133212	30
face_st08.anm	7	7	4294967268	2396088	30
face_st08m.anm	0	0	4294967269	128	9
face_st08m.anm	1	1	4294967270	524712	8
face_st08m.anm	2	2	4294967271	558036	30
face_st08msp.anm	0	0	4294967282	128	9
face_st08sp.anm	0	0	4294967281	128	9
face_yk00.anm	0	0	4294967133	152	9
face_yk00.anm	1	1	4294967134	524736	31
face_yk00.anm	2	2	4294967135	656464	31
face_yk00.anm	3	3	4294967136	788192	31
face_yk00.anm	4	4	4294967137	919920	31
face_yk00.anm	5	5	4294967138	1051648	31
face_yk00.anm	6	6	4294967139	1183376	31
face_yk00.anm	7	7	4294967140	1315104	31
face_yk00.anm	8	8	4294967141	1446832	31
face_yksp.anm	0	0	4294967283	128	9
face_ym00.anm	0	0	4294967178	152	9
face_ym00.anm	1	1	4294967179	524720	31
face_ym00.anm	2	2	4294967180	656432	31
face_ym00.anm	3	3	4294967181	788144	31
face_ym00.anm	4	4	4294967182	919856	31
face_ym00.anm	5	5	4294967183	1051568	31
face_ym00.anm	6	6	4294967184	1183280	31
face_ym00.anm	7	7	4294967185	1314992	31
face_ym00.anm	8	8	4294967186	1446704	31
face_ymsp.anm	0	0	4294967287	128	9
face_yy00.anm	0	0	4294967187	152	9
face_yy00.anm	1	1	4294967188	524736	31
face_yy00.anm	2	2	4294967189	656464	31
face_yy00.anm	3	3	4294967190	788192	31
face_yy00.anm	4	4	4294967191	919920	31
face_yy00.anm	5	5	4294967192	1051648	31
face_yy00.anm	6	6	4294967193	1183376	31
face_yy00.anm	7	7	4294967194	1315104	31
face_yy00.anm	8	8	4294967195	1446832	31
face_yysp.anm	0	0	4294967288	128	9
front.anm	0	0	4294967269	608	8
front.anm	1	0	4294967270	708	9
front.anm	2	0	4294967271	840	9
front.anm	3	0	4294967272	964	9
front.anm	4	0	4294967273	1088	9
front.anm	5	0	4294967274	1212	9
front.anm	6	0	4294967275	1336	9
front.anm	7	0	4294967276	1460	9
front.anm	8	0	4294967277	1584	9
front.anm	9	0	4294967278	1708	9
front.anm	10	0	4294967279	1832	4
front.anm	11	0	4294967280	1868	4
front.anm	12	0	4294967281	1904	16
front.anm	13	0	4294967282	2120	4
front.anm	14	0	4294967283	2156	4
front.anm	15	0	4294967284	2192	4
loading00.anm	0	0	4294967285	128	7
loading00a.anm	0	0	4294967290	128	7
loading00h.anm	0	0	4294967289	128	7
loading01.anm	0	0	4294967286	128	7
loading01a.anm	0	0	4294967292	128	7
loading01h.anm	0	0	4294967291	128	7
loading02.anm	0	0	4294967287	128	7
loading02a.anm	0	0	4294967294	128	7
loading02h.anm	0	0	4294967293	128	7
loading03.anm	0	0	4294967288	128	7
loading03a.anm	0	0	0	128	7
loading03h.anm	0	0	4294967295	128	7
music00.anm	0	0	0	128	9
music00.anm	1	1	1	132380	15
music00.anm	2	1	2	132596	15
music00.anm	3	1	3	132812	15
music00.anm	4	1	4	133028	15
music00.anm	5	1	5	133244	15
music00.anm	6	1	6	133460	15
music00.anm	7	1	7	133676	15
music00.anm	8	1	8	133892	15
music00.anm	9	1	9	134108	15
music00.anm	10	1	10	134324	15
music00.anm	11	1	11	134540	15
music00.anm	12	1	12	134756	15
music00.anm	13	1	13	134972	15
music00.anm	14	1	14	135188	15
music00.anm	15	1	15	135404	15
music00.anm	16	1	16	135620	15
music00.anm	17	1	17	135836	15
music00.anm	18	1	18	136052	15
music00.anm	19	1	19	136268	15
music00.anm	20	1	20	136484	15
music00.anm	21	1	21	136700	15
music00.anm	22	1	22	136916	15
music00.anm	23	1	23	137132	15
music00.anm	24	1	24	137348	15
music00.anm	25	1	25	137564	15
music00.anm	26	1	26	137780	15
music00.anm	27	1	27	137996	15
music00.anm	28	1	28	138212	15
music00.anm	29	1	29	138428	15
music00.anm	30	1	30	138644	15
nowloading.anm	0	0	0	216	15
nowloading.anm	1	0	1	424	17
nowloading.anm	2	0	2	688	16
player00.anm	0	0	0	1304	6
player00.anm	1	0	1	1376	9
player00.anm	2	0	2	1484	10
player00.anm	3	0	3	1604	10
player00.anm	4	0	4	1720	11
player00.anm	5	0	5	1848	6
player00.anm	6	0	6	1920	9
player00.anm	7	0	7	2028	10
player00.anm	8	0	8	2148	10
player00.anm	9	0	9	2264	11
player00.anm	10	0	10	2392	7
player00.anm	11	0	11	2468	8
player00.anm	12	0	12	2572	7
player00.anm	13	0	13	2648	9
player00.anm	14	0	14	2776	7
player00.anm	15	0	15	2852	9
player00.anm	16	0	16	2964	7
player00.anm	17	0	17	3040	9
player00.anm	18	0	18	3152	37
player00.anm	19	1	19	134968	16
player00.anm	20	1	20	135252	8
player00.anm	21	1	21	135380	9
player00.anm	22	1	22	135512	11
player01.anm	0	0	0	1128	6
player01.anm	1	0	1	1200	9
player01.anm	2	0	2	1308	10
player01.anm	3	0	3	1428	10
player01.anm	4	0	4	1544	11
player01.anm	5	0	5	1672	6
player01.anm	6	0	6	1744	9
player01.anm	7	0	7	1852	10
player01.anm	8	0	8	1972	10
player01.anm	9	0	9	2088	11
player01.anm	10	0	10	2216	7
player01.anm	11	0	11	2292	10
player01.anm	12	0	12	2432	7
player01.anm	13	0	13	2512	11
player01.anm	14	0	14	2680	7
player01.anm	15	0	15	2760	11
player01.anm	16	0	16	2928	7
player01.anm	17	0	17	3008	11
player01.anm	18	0	18	3176	7
player01.anm	19	0	19	3256	11
player01.anm	20	0	20	3424	7
player01.anm	21	0	21	3504	11
player01.anm	22	0	22	3672	7
player01.anm	23	0	23	3748	10
player01.anm	24	0	24	3888	13
player01.anm	25	0	25	4056	13
player01.anm	26	0	26	4224	13
player01.anm	27	0	27	4392	13
player01.anm	28	0	28	4560	13
player01.anm	29	0	29	4728	21
player01.anm	30	1	30	136324	12
player01.anm	31	1	31	136516	12
player01.anm	32	1	32	136708	12
player01.anm	33	1	33	136900	12
player01.anm	34	1	34	137092	12
player01.anm	35	1	35	137284	12
player01.anm	36	1	36	137476	12
player01.anm	37	1	37	137668	12
player01.anm	38	1	38	137860	12
player01.anm	39	1	39	138052	12
player02.anm	0	0	0	896	6
player02.anm	1	0	1	968	9
player02.anm	2	0	2	1076	10
player02.anm	3	0	3	1196	10
player02.anm	4	0	4	1312	11
player02.anm	5	0	5	1440	6
player02.anm	6	0	6	1512	7
player02.anm	7	0	7	1596	8
player02.anm	8	0	8	1692	8
player02.anm	9	0	9	1784	9
player02.anm	10	0	10	1888	7
player02.anm	11	0	11	1964	9
player02.anm	12	0	12	2084	7
player02.anm	13	0	13	2160	9
player02.anm	14	0	14	2280	7
player02.anm	15	0	15	2356	9
player02.anm	16	0	16	2476	7
player02.anm	17	0	17	2552	9
player02.anm	18	0	18	2672	13
player02.anm	19	0	19	2872	11
player02.anm	20	0	20	3028	10
player02.anm	21	0	21	3156	10
player02.anm	22	0	22	3288	9
player02.anm	23	0	23	3400	11
player02.anm	24	0	24	3548	24
player03.anm	0	0	0	944	6
player03.anm	1	0	1	1016	6
player03.anm	2	0	2	1088	8
player03.anm	3	0	3	1184	7
player03.anm	4	0	4	1264	9
player03.anm	5	0	5	1368	6
player03.anm	6	0	6	1440	6
player03.anm	7	0	7	1512	8
player03.anm	8	0	8	1608	7
player03.anm	9	0	9	1688	9
player03.anm	10	0	10	1792	7
player03.anm	11	0	11	1868	10
player03.anm	12	0	12	2016	7
player03.anm	13	0	13	2092	9
player03.anm	14	0	14	2212	7
player03.anm	15	0	15	2288	9
player03.anm	16	0	16	2408	7
player03.anm	17	0	17	2484	9
player03.anm	18	0	18	2604	11
player03.anm	19	0	19	2748	11
player03.anm	20	0	20	2892	11
player03.anm	21	0	21	3028	24
result00.anm	0	0	0	1024	46
result00.anm	1	0	1	1716	46
result00.anm	2	0	2	2408	46
result00.anm	3	0	3	3100	46
result00.anm	4	0	4	3792	46
result00.anm	5	0	5	4484	46
result00.anm	6	0	6	5176	46
result00.anm	7	0	7	5868	46
result00.anm	8	0	8	6560	46
result00.anm	9	0	9	7252	46
result00.anm	10	0	10	7944	46
result00.anm	11	0	11	8636	46
result00.anm	12	0	12	9328	46
result00.anm	13	0	13	10020	46
result00.anm	14	0	14	10712	46
result00.anm	15	0	15	11404	46
result00.anm	16	0	16	12096	46
result00.anm	17	0	17	12788	46
result00.anm	18	0	18	13480	46
result00.anm	19	0	19	14172	46
result00.anm	20	0	20	14864	46
result00.anm	21	0	21	15556	46
result00.anm	22	0	22	16248	46
result00.anm	23	0	23	16940	46
result00.anm	24	0	24	17632	46
result00.anm	25	0	25	18324	46
result00.anm	26	0	26	19016	46
result00.anm	27	0	27	19708	46
result00.anm	28	0	28	20400	46
result00.anm	29	0	29	21092	46
result00.anm	30	0	30	21784	46
result00.anm	31	0	31	22476	46
result00.anm	32	0	32	23168	46
result00.anm	33	0	33	23860	46
result00.anm	34	0	34	24552	46
result00.anm	35	0	35	25244	46
result00.anm	36	0	36	25936	46
result00.anm	37	0	37	26628	46
result00.anm	38	0	38	27320	46
result00.anm	39	0	39	28012	46
result00.anm	40	0	40	28704	20
result00.anm	41	1	41	553616	11
result00.anm	42	1	42	553760	11
result00.anm	43	1	43	553904	11
result00.anm	44	1	44	554048	11
result00.anm	45	1	45	554192	11
result00.anm	46	1	46	554336	11
result00.anm	47	1	47	554480	11
result00.anm	48	2	48	686160	19
result00.anm	49	2	49	686408	17
result00.anm	50	2	50	686620	16
result00.anm	51	2	51	686828	16
result00.anm	52	2	52	687036	11
result00.anm	53	2	53	687168	11
result00.anm	54	2	54	687300	11
result00.anm	55	2	55	687432	11
result00.anm	56	2	56	687584	14
result00.anm	57	2	57	687780	14
result00.anm	58	2	58	687976	14
result00.anm	59	2	59	688172	14
result00.anm	60	2	60	688368	14
result00.anm	61	2	61	688564	14
result00.anm	62	2	62	688760	14
result00.anm	63	2	63	688956	14
result00.anm	64	2	64	689152	14
result00.anm	65	2	65	689348	14
result00.anm	66	2	66	689544	14
result00.anm	67	2	67	689740	14
result00.anm	68	2	68	689936	14
result00.anm	69	2	69	690132	14
result00.anm	70	2	70	690328	14
result00.anm	71	3	71	821740	13
staff01.anm	0	0	0	256	9
staff01.anm	1	0	1	396	8
staff01.anm	2	0	2	512	9
staff01.anm	3	0	3	652	8
staff01.anm	4	0	4	768	9
staff01.anm	5	0	5	908	6
staff01.anm	6	0	6	984	6
staff01.anm	7	0	7	1060	6
stg1bg.anm	0	0	0	192	5
stg1bg.anm	1	0	1	240	5
stg1bg.anm	2	0	2	292	5
stg1enm.anm	0	0	0	408	25
stg1enm.anm	1	0	1	740	7
stg1enm.anm	2	0	2	812	6
stg1enm.anm	3	0	3	876	30
stg1enm.anm	4	0	4	1264	29
stg1enm.anm	5	0	5	1644	7
stg1txt.anm	0	0	0	272	9
stg1txt.anm	1	0	1	424	9
stg1txt.anm	2	0	2	576	8
