tick	action_x	action_y	x	y
276	0	0	192.58578491210938	399.41421508789062
277	0	0	192.58578491210938	399.41421508789062
278	0	0	192.58578491210938	399.41421508789062
279	0	0	192.58578491210938	399.41421508789062
280	0	0	192.58578491210938	399.41421508789062
281	0	0	192.58578491210938	399.41421508789062
282	0	0	192.58578491210938	399.41421508789062
283	0	0	192.58578491210938	399.41421508789062
284	0	0	192.58578491210938	399.41421508789062
285	0	0	192.58578491210938	399.41421508789062
286	0	0	192.58578491210938	399.41421508789062
287	0	0	192.58578491210938	399.41421508789062
288	0	0	192.58578491210938	399.41421508789062
289	0	0	192.58578491210938	399.41421508789062
290	0	0	192.58578491210938	399.41421508789062
291	0	0	192.58578491210938	399.41421508789062
292	0	0	192.58578491210938	399.41421508789062
293	0	0	192.58578491210938	399.41421508789062
294	0	0	192.58578491210938	399.41421508789062
295	0	0	192.58578491210938	399.41421508789062
296	0	0	192.58578491210938	399.41421508789062
297	0	0	192.58578491210938	399.41421508789062
298	0	0	192.58578491210938	399.41421508789062
299	0	0	192.58578491210938	399.41421508789062
300	0	0	192.58578491210938	399.41421508789062
301	0	0	192.58578491210938	399.41421508789062
302	0	0	192.58578491210938	399.41421508789062
303	0	0	192.58578491210938	399.41421508789062
304	0	0	192.58578491210938	399.41421508789062
305	0	0	192.58578491210938	399.41421508789062
306	0	0	192.58578491210938	399.41421508789062
307	0	0	192.58578491210938	399.41421508789062
308	0	0	192.58578491210938	399.41421508789062
309	0	0	192.58578491210938	399.41421508789062
310	0	0	192.58578491210938	399.41421508789062
311	0	0	192.58578491210938	399.41421508789062
312	0	0	192.58578491210938	399.41421508789062
313	0	0	192.58578491210938	399.41421508789062
314	0	0	192.58578491210938	399.41421508789062
315	0	0	192.58578491210938	399.41421508789062
316	0	0	192.58578491210938	399.41421508789062
317	0	0	192.58578491210938	399.41421508789062
318	0	0	192.58578491210938	399.41421508789062
319	0	0	192.58578491210938	399.41421508789062
320	0	0	192.58578491210938	399.41421508789062
321	0	0	192.58578491210938	399.41421508789062
322	0	0	192.58578491210938	399.41421508789062
323	0	0	192.58578491210938	399.41421508789062
324	0	0	192.58578491210938	399.41421508789062
325	0	0	192.58578491210938	399.41421508789062
326	0	0	192.58578491210938	399.41421508789062
327	0	0	192.58578491210938	399.41421508789062
328	0	0	192.58578491210938	399.41421508789062
329	0	0	192.58578491210938	399.41421508789062
330	0	0	192.58578491210938	399.41421508789062
331	0	0	192.58578491210938	399.41421508789062
332	0	0	192.58578491210938	399.41421508789062
333	0	0	192.58578491210938	399.41421508789062
334	0	0	192.58578491210938	399.41421508789062
335	0	0	192.58578491210938	399.41421508789062
336	0	0	192.58578491210938	399.41421508789062
337	0	0	192.58578491210938	399.41421508789062
338	0	0	192.58578491210938	399.41421508789062
339	0	0	192.58578491210938	399.41421508789062
340	0	0	192.58578491210938	399.41421508789062
341	0	0	192.58578491210938	399.41421508789062
342	0	0	192.58578491210938	399.41421508789062
343	0	0	192.58578491210938	399.41421508789062
344	0	0	192.58578491210938	399.41421508789062
345	0	0	192.58578491210938	399.41421508789062
346	0	0	192.58578491210938	399.41421508789062
347	0	0	192.58578491210938	399.41421508789062
348	0	0	192.58578491210938	399.41421508789062
349	0	0	192.58578491210938	399.41421508789062
350	0	0	192.58578491210938	399.41421508789062
351	0	0	192.58578491210938	399.41421508789062
352	0	0	192.58578491210938	399.41421508789062
353	0	0	192.58578491210938	399.41421508789062
354	0	0	192.58578491210938	399.41421508789062
355	0	0	192.58578491210938	399.41421508789062
356	0	0	192.58578491210938	399.41421508789062
357	0	0	192.58578491210938	399.41421508789062
358	0	0	192.58578491210938	399.41421508789062
359	0	0	192.58578491210938	399.41421508789062
360	0	0	192.58578491210938	399.41421508789062
361	0	0	192.58578491210938	399.41421508789062
362	0	0	192.58578491210938	399.41421508789062
363	0	0	192.58578491210938	399.41421508789062
364	0	0	192.58578491210938	399.41421508789062
365	0	0	192.58578491210938	399.41421508789062
366	0	0	192.58578491210938	399.41421508789062
367	0	0	192.58578491210938	399.41421508789062
368	0	0	192.58578491210938	399.41421508789062
369	0	0	192.58578491210938	399.41421508789062
370	0	0	192.58578491210938	399.41421508789062
371	0	0	192.58578491210938	399.41421508789062
372	0	0	192.58578491210938	399.41421508789062
373	0	0	192.58578491210938	399.41421508789062
374	0	0	192.58578491210938	399.41421508789062
375	0	0	192.58578491210938	399.41421508789062
376	0	0	192.58578491210938	399.41421508789062
377	0	0	192.58578491210938	399.41421508789062
