tick	allocated_total	live	lethal	state_digest
555	840	245	245	11099278701135702337
556	840	244	244	3295938883078060394
557	840	243	243	18145446073498492497
558	840	240	240	5889412393437295540
559	840	237	237	9709135991835982716
560	840	234	234	829152446958712370
561	840	234	234	10050937324271939902
562	840	233	233	4525010732192813620
563	840	232	232	3012393343023109187
564	840	232	232	346245777551149324
565	840	231	231	16769450129388361487
566	840	230	230	17259212413849724350
567	840	230	230	1908829356102936308
568	840	227	227	11229876480499479762
569	840	226	226	9963553173428107896
570	840	225	225	9208209655186168675
571	840	223	223	14597434881366770727
572	840	223	223	11114975836850442687
573	840	222	222	11295229953567880931
574	840	220	220	4780651795175996019
575	840	217	217	11280479225941641692
576	840	217	217	4801838494987331564
577	840	217	217	16840647985226934876
578	840	216	216	6365629793736214974
579	840	214	214	14563710203642891154
580	840	213	213	13850038320559996480
581	840	213	213	7464730002484719813
582	840	211	211	12841073292267040633
583	840	211	211	15711333684975764637
584	840	211	211	5990799393477380711
585	840	210	210	6325140222977427583
586	840	209	209	3977576545803935318
587	840	209	209	10806041670337245147
588	840	207	207	18082286980440253931
589	840	205	205	3978598775164165822
590	840	204	204	5020296921515467851
591	840	202	202	16051820541096163055
592	840	201	201	10924957661395929205
593	840	201	201	16291516427576054732
594	840	201	201	5326274765593786123
595	840	200	200	11294232680390616339
596	840	197	197	18156136469897045859
597	840	196	196	8246295894573905539
598	840	196	196	8376121279249883122
599	840	194	194	1031848885946428969
